State	Day/Night	Population Density	Nearest Police Station	Crime Taken Place
Chhattisgarh	Night	2800	9	Yes
Chhattisgarh	Night	2700	9	Yes
Chhattisgarh	Night	2500	10	Yes
Chhattisgarh	Night	3100	8.5	Yes
Chhattisgarh	Night	2900	9	Yes
Chhattisgarh	Night	3600	6.5	Yes
Chhattisgarh	Night	2400	10	Yes
Chhattisgarh	Night	3200	8	Yes
Chhattisgarh	Night	2700	9	Yes
Chhattisgarh	Night	2600	9.5	Yes
Chhattisgarh	Night	2500	10	Yes
Chhattisgarh	Night	3400	8	Yes
Chhattisgarh	Night	2600	10	Yes
Chhattisgarh	Night	5600	5	Yes
Chhattisgarh	Night	3900	7	Yes
Chhattisgarh	Night	3200	8	Yes
Chhattisgarh	Night	2900	8.5	Yes
Chhattisgarh	Night	3000	7.5	Yes
Chhattisgarh	Night	2800	9.5	Yes
Chhattisgarh	Night	2700	9	Yes
Chhattisgarh	Night	2500	10	Yes
Chhattisgarh	Night	3100	8.5	Yes
Chhattisgarh	Night	2900	9	Yes
Chhattisgarh	Night	2400	10	Yes
Chhattisgarh	Night	3200	8	Yes
Chhattisgarh	Night	2700	9.5	Yes
Chhattisgarh	Night	2600	9.5	Yes
Chhattisgarh	Night	2500	10	Yes
Chhattisgarh	Night	3400	8	Yes
Chhattisgarh	Night	2600	10	Yes
Chhattisgarh	Night	5800	5	Yes
Chhattisgarh	Night	3900	7	Yes
Chhattisgarh	Night	3200	8	Yes
Chhattisgarh	Night	2900	8.5	Yes
Chhattisgarh	Night	3000	7.5	Yes
Chhattisgarh	Night	2800	9.5	Yes
Chhattisgarh	Night	2700	9	Yes
Chhattisgarh	Night	2500	10	Yes
Chhattisgarh	Night	3100	8.5	Yes
Chhattisgarh	Night	2900	9	Yes
Chhattisgarh	Day	2400	10	Yes
Chhattisgarh	Day	3200	8	Yes
Chhattisgarh	Day	2700	9.5	Yes
Chhattisgarh	Day	2600	9.5	Yes
Chhattisgarh	Day	2500	10	Yes
Chhattisgarh	Day	3400	8	Yes
Chhattisgarh	Day	2600	10	Yes
Chhattisgarh	Day	5600	5	Yes
Chhattisgarh	Day	3900	7	Yes
Chhattisgarh	Day	3200	8	Yes
Chhattisgarh	Day	2900	8.5	Yes
Goa	Night	9000	3	Yes
Goa	Day	8500	3.5	Yes
Gujarat	Night	18000	3	Yes
Gujarat	Night	16000	3.5	Yes
Gujarat	Night	10500	4	Yes
Gujarat	Night	8000	4.5	Yes
Gujarat	Night	7500	4	Yes
Gujarat	Night	7000	5	Yes
Gujarat	Night	6800	6	Yes
Gujarat	Night	6500	5.5	Yes
Gujarat	Night	5500	6	Yes
Gujarat	Night	5000	6.5	Yes
Gujarat	Night	4800	7	Yes
Gujarat	Night	4600	7.5	Yes
Gujarat	Day	12000	4	Yes
Gujarat	Day	4200	8	Yes
Gujarat	Day	4000	8.5	Yes
Haryana	Night	11000	4	Yes
Haryana	Night	12000	4.5	Yes
Haryana	Night	6000	5	Yes
Haryana	Night	5800	5.5	Yes
Haryana	Night	4900	6	Yes
Haryana	Night	5200	6.5	Yes
Haryana	Night	5000	6	Yes
Haryana	Night	4800	7	Yes
Haryana	Night	4900	6.5	Yes
Haryana	Night	4600	7.5	Yes
Haryana	Night	4200	7	Yes
Haryana	Night	4000	7.5	Yes
Haryana	Night	4500	7	Yes
Haryana	Night	4100	8	Yes
Haryana	Night	3800	8.5	Yes
Haryana	Night	4000	8	Yes
Haryana	Night	4700	7.5	Yes
Haryana	Night	3900	8	Yes
Haryana	Night	4600	7	Yes
Haryana	Night	4100	8	Yes
Haryana	Night	4200	8.5	Yes
Haryana	Night	4000	8.5	Yes
Haryana	Night	3800	9	Yes
Haryana	Night	3700	9	Yes
Haryana	Night	4000	8.5	Yes
Haryana	Night	4100	8	Yes
Haryana	Night	3500	9	Yes
Haryana	Night	3700	9	Yes
Haryana	Day	3800	8.5	Yes
Haryana	Day	3600	9.5	Yes
Haryana	Day	3900	9	Yes
Haryana	Day	3500	9.5	Yes
Haryana	Day	3400	9.5	Yes
Haryana	Day	3600	9	Yes
Haryana	Day	5500	6	Yes
Himachal Pradesh	Night	3200	5	Yes
Himachal Pradesh	Night	2500	6.5	Yes
Himachal Pradesh	Night	2800	6	Yes
Himachal Pradesh	Night	2700	7	Yes
Himachal Pradesh	Night	1500	8	Yes
Himachal Pradesh	Night	1800	8.5	Yes
Himachal Pradesh	Night	2200	7.5	Yes
Himachal Pradesh	Night	2000	7	Yes
Himachal Pradesh	Day	2400	6	Yes
Himachal Pradesh	Day	4164	3.8	Yes
Jammu & Kashmir	Night	11000	4	Yes
Jammu & Kashmir	Night	6800	4.5	Yes
Jammu & Kashmir	Night	3500	6	Yes
Jammu & Kashmir	Night	3600	6.5	Yes
Jammu & Kashmir	Night	2800	7	Yes
Jammu & Kashmir	Day	2500	7.5	Yes
Jammu & Kashmir	Day	3000	6.5	Yes
Jammu & Kashmir	Day	2200	8	Yes
Jammu & Kashmir	Day	2100	8.5	Yes
Jharkhand	Night	8500	4.5	Yes
Jharkhand	Night	9200	4	Yes
Jharkhand	Night	12000	3.5	Yes
Jharkhand	Night	6000	5	Yes
Jharkhand	Night	4500	6	Yes
Jharkhand	Night	3900	6.5	Yes
Jharkhand	Night	4000	6.5	Yes
Jharkhand	Night	4800	6	Yes
Jharkhand	Night	3200	7	Yes
Jharkhand	Night	3800	6.5	Yes
Jharkhand	Night	4100	6	Yes
Jharkhand	Night	2900	8	Yes
Jharkhand	Night	3200	7	Yes
Jharkhand	Night	3500	7	Yes
Jharkhand	Night	10000	4	Yes
Jharkhand	Night	2700	8.5	Yes
Jharkhand	Night	2500	9	Yes
Jharkhand	Night	3100	7.5	Yes
Jharkhand	Night	2900	8	Yes
Jharkhand	Day	2800	7.5	Yes
Jharkhand	Day	3600	7	Yes
Jharkhand	Day	3500	7	Yes
Jharkhand	Day	3300	7.5	Yes
Jharkhand	Day	4200	6.5	Yes
Jharkhand	Day	3500	7	Yes
Jharkhand	Day	5800	5.5	Yes
Jharkhand	Day	6200	5	Yes
Jharkhand	Day	3700	6.5	Yes
Jharkhand	Day	2900	8	Yes
Jharkhand	Day	3000	8	Yes
Karnataka	Night	11000	3.5	Yes
Karnataka	Night	7000	4	Yes
Karnataka	Night	6000	5	Yes
Karnataka	Night	4500	5	Yes
Karnataka	Night	3800	5.5	Yes
Karnataka	Night	4200	5.5	Yes
Karnataka	Night	3500	6	Yes
Karnataka	Night	3700	6	Yes
Karnataka	Night	2900	6.5	Yes
Karnataka	Night	2700	7	Yes
Karnataka	Night	3000	6.5	Yes
Karnataka	Night	2600	7.5	Yes
Karnataka	Day	1700	7.5	Yes
Karnataka	Day	2100	7	Yes
Karnataka	Day	2800	6.5	Yes
Karnataka	Day	2500	7	Yes
Kerala	Night	5000	4	Yes
Kerala	Night	7400	3.5	Yes
Kerala	Night	6100	4.5	Yes
Kerala	Night	4900	5	Yes
Kerala	Night	6000	5	Yes
Kerala	Night	4200	5.5	Yes
Kerala	Night	3900	5.5	Yes
Kerala	Night	4100	5.5	Yes
Kerala	Night	3800	6	Yes
Kerala	Night	3500	6.5	Yes
Kerala	Night	2500	7	Yes
Kerala	Night	2800	6.5	Yes
Kerala	Night	2100	7.5	Yes
Kerala	Night	3200	7	Yes
Kerala	Night	3500	7	Yes
Kerala	Night	3300	7.5	Yes
Kerala	Night	3100	6.5	Yes
Kerala	Night	4000	6	Yes
Kerala	Night	4400	6	Yes
Kerala	Night	3600	7	Yes
Kerala	Night	3800	6.5	Yes
Kerala	Night	4200	6	Yes
Kerala	Night	3900	6	Yes
Kerala	Night	4300	6	Yes
Kerala	Night	4800	5.5	Yes
Kerala	Night	4600	5.5	Yes
Kerala	Night	3700	6.5	Yes
Kerala	Night	4500	6	Yes
Kerala	Night	4700	5.5	Yes
Kerala	Night	4100	6	Yes
Kerala	Night	4500	5.5	Yes
Kerala	Night	3600	6	Yes
Kerala	Night	2700	7	Yes
Kerala	Night	4200	6	Yes
Kerala	Night	4100	6	Yes
Kerala	Night	5300	5	Yes
Kerala	Night	3700	6.5	Yes
Kerala	Night	5500	5	Yes
Kerala	Night	4900	5.5	Yes
Kerala	Night	6000	5	Yes
Kerala	Night	3800	6	Yes
Kerala	Night	5000	5	Yes
Kerala	Night	4100	6	Yes
Kerala	Night	5100	5	Yes
Kerala	Night	5200	5	Yes
Kerala	Night	3500	7	Yes
Kerala	Day	4200	6	Yes
Kerala	Day	3700	6.5	Yes
Kerala	Day	4500	6	Yes
Kerala	Day	4000	6	Yes
Kerala	Day	3700	6.5	Yes
Kerala	Day	3900	6	Yes
Kerala	Day	4200	6	Yes
Kerala	Day	6000	5	Yes
Kerala	Day	4600	5.5	Yes
Kerala	Day	4200	6	Yes
Kerala	Day	3800	6	Yes
Kerala	Day	5200	5	Yes
Kerala	Day	3800	6.5	Yes
Kerala	Day	5177	4.2	Yes
Madhya Pradesh	Night	905	4.9	Yes
Madhya Pradesh	Night	938	3.6	Yes
Madhya Pradesh	Night	944	4.5	Yes
Madhya Pradesh	Night	857	3.8	Yes
Madhya Pradesh	Night	872	3.1	Yes
Madhya Pradesh	Night	911	4.5	Yes
Madhya Pradesh	Night	908	4.4	Yes
Madhya Pradesh	Night	955	4.7	Yes
Madhya Pradesh	Night	889	4	Yes
Madhya Pradesh	Night	995	3.7	Yes
Madhya Pradesh	Night	928	4	Yes
Madhya Pradesh	Night	892	4.1	Yes
Madhya Pradesh	Night	889	4.4	Yes
Madhya Pradesh	Night	871	3.4	Yes
Madhya Pradesh	Night	862	4.4	Yes
Madhya Pradesh	Night	1268	3.3	Yes
Madhya Pradesh	Night	1143	4.5	Yes
Madhya Pradesh	Night	1213	4.4	Yes
Madhya Pradesh	Night	1270	3.1	Yes
Madhya Pradesh	Night	1234	3.9	Yes
Madhya Pradesh	Night	1151	4.4	Yes
Madhya Pradesh	Night	1145	4.8	Yes
Madhya Pradesh	Night	1230	4.9	Yes
Madhya Pradesh	Night	1282	3.9	Yes
Madhya Pradesh	Night	1254	3.6	Yes
Madhya Pradesh	Night	1198	4.4	Yes
Madhya Pradesh	Night	1149	4.4	Yes
Madhya Pradesh	Night	1238	3.7	Yes
Madhya Pradesh	Night	1262	5	Yes
Madhya Pradesh	Night	1112	3.8	Yes
Madhya Pradesh	Night	817	4.2	Yes
Madhya Pradesh	Night	907	4.8	Yes
Madhya Pradesh	Night	984	5.2	Yes
Madhya Pradesh	Night	986	4.4	Yes
Madhya Pradesh	Night	940	5.3	Yes
Madhya Pradesh	Night	1000	5.5	Yes
Madhya Pradesh	Night	868	6	Yes
Madhya Pradesh	Night	931	5.6	Yes
Madhya Pradesh	Night	921	4.4	Yes
Madhya Pradesh	Night	938	5.6	Yes
Madhya Pradesh	Night	961	5.2	Yes
Madhya Pradesh	Night	844	5.7	Yes
Madhya Pradesh	Night	831	4.3	Yes
Madhya Pradesh	Night	924	5.1	Yes
Madhya Pradesh	Night	942	4.9	Yes
Madhya Pradesh	Night	774	5.4	Yes
Madhya Pradesh	Night	807	4.9	Yes
Madhya Pradesh	Night	767	6.7	Yes
Madhya Pradesh	Night	828	6	Yes
Madhya Pradesh	Night	848	5.6	Yes
Madhya Pradesh	Night	890	5.7	Yes
Madhya Pradesh	Night	762	4.6	Yes
Madhya Pradesh	Night	791	5.6	Yes
Madhya Pradesh	Night	795	6.7	Yes
Madhya Pradesh	Night	1648	5.2	Yes
Madhya Pradesh	Night	821	6.3	Yes
Madhya Pradesh	Night	717	5.1	Yes
Madhya Pradesh	Night	814	4.9	Yes
Madhya Pradesh	Night	736	6.8	Yes
Madhya Pradesh	Night	714	4.8	Yes
Madhya Pradesh	Night	716	5.8	Yes
Madhya Pradesh	Night	700	4.7	Yes
Madhya Pradesh	Night	742	4.2	Yes
Madhya Pradesh	Night	722	5.9	Yes
Madhya Pradesh	Night	649	4.9	Yes
Madhya Pradesh	Night	704	5.3	Yes
Madhya Pradesh	Night	2109	4.6	Yes
Madhya Pradesh	Night	728	5.2	Yes
Madhya Pradesh	Night	774	5.1	Yes
Madhya Pradesh	Night	709	5.6	Yes
Madhya Pradesh	Night	644	4.8	Yes
Madhya Pradesh	Night	751	5.7	Yes
Madhya Pradesh	Night	753	5.6	Yes
Madhya Pradesh	Night	730	5.3	Yes
Madhya Pradesh	Night	778	5.8	Yes
Madhya Pradesh	Night	473	5.9	Yes
Madhya Pradesh	Night	568	5.1	Yes
Madhya Pradesh	Night	594	5	Yes
Madhya Pradesh	Night	441	5.3	Yes
Madhya Pradesh	Night	471	5.2	Yes
Madhya Pradesh	Night	462	5.5	Yes
Madhya Pradesh	Night	446	5.9	Yes
Madhya Pradesh	Night	468	6.5	Yes
Madhya Pradesh	Night	498	6	Yes
Madhya Pradesh	Night	502	5.4	Yes
Madhya Pradesh	Night	429	5.4	Yes
Madhya Pradesh	Night	473	5.3	Yes
Madhya Pradesh	Night	447	6.9	Yes
Madhya Pradesh	Night	480	6.3	Yes
Madhya Pradesh	Night	519	6.5	Yes
Madhya Pradesh	Night	386	9.9	Yes
Madhya Pradesh	Night	401	8.9	Yes
Madhya Pradesh	Night	487	8.2	Yes
Madhya Pradesh	Night	375	7.9	Yes
Madhya Pradesh	Night	378	8.2	Yes
Madhya Pradesh	Night	376	10.7	Yes
Madhya Pradesh	Night	499	6.9	Yes
Madhya Pradesh	Night	456	10.9	Yes
Madhya Pradesh	Night	404	7	Yes
Madhya Pradesh	Night	356	7.8	Yes
Madhya Pradesh	Night	434	9.6	Yes
Madhya Pradesh	Night	363	6.9	Yes
Madhya Pradesh	Night	429	7.7	Yes
Madhya Pradesh	Night	439	8.5	Yes
Madhya Pradesh	Night	402	8	Yes
Madhya Pradesh	Night	334	8.2	Yes
Madhya Pradesh	Night	437	7.3	Yes
Madhya Pradesh	Night	393	7.4	Yes
Madhya Pradesh	Night	346	8.1	Yes
Madhya Pradesh	Night	358	7.3	Yes
Madhya Pradesh	Night	398	9.4	Yes
Madhya Pradesh	Night	417	9.5	Yes
Madhya Pradesh	Night	438	7.3	Yes
Madhya Pradesh	Night	403	8	Yes
Madhya Pradesh	Night	393	7.7	Yes
Madhya Pradesh	Night	417	8.6	Yes
Madhya Pradesh	Night	424	9.2	Yes
Madhya Pradesh	Night	331	8	Yes
Madhya Pradesh	Night	393	9.9	Yes
Madhya Pradesh	Night	447	9.5	Yes
Madhya Pradesh	Night	336	8.3	Yes
Madhya Pradesh	Night	365	9.9	Yes
Madhya Pradesh	Night	412	6.2	Yes
Madhya Pradesh	Night	471	7.4	Yes
Madhya Pradesh	Night	385	6.6	Yes
Madhya Pradesh	Night	451	7.3	Yes
Madhya Pradesh	Night	348	9.5	Yes
Madhya Pradesh	Night	470	11.8	Yes
Madhya Pradesh	Night	403	14.2	Yes
Madhya Pradesh	Night	417	8.9	Yes
Madhya Pradesh	Night	470	9.1	Yes
Madhya Pradesh	Night	459	7.2	Yes
Madhya Pradesh	Night	368	9.6	Yes
Madhya Pradesh	Night	356	8.7	Yes
Madhya Pradesh	Night	324	7.1	Yes
Madhya Pradesh	Night	302	7.7	Yes
Madhya Pradesh	Night	278	8	Yes
Madhya Pradesh	Night	295	7.7	Yes
Madhya Pradesh	Night	283	7.9	Yes
Madhya Pradesh	Night	381	8.5	Yes
Madhya Pradesh	Day	939	4.9	Yes
Madhya Pradesh	Day	925	4.1	Yes
Madhya Pradesh	Day	911	3.1	Yes
Madhya Pradesh	Day	2431	3.5	Yes
Madhya Pradesh	Day	866	4.2	Yes
Madhya Pradesh	Day	866	14	Yes
Madhya Pradesh	Day	940	3.9	Yes
Madhya Pradesh	Day	1222	3.7	Yes
Madhya Pradesh	Day	1213	4.4	Yes
Madhya Pradesh	Day	1152	4.3	Yes
Madhya Pradesh	Day	1246	3.4	Yes
Madhya Pradesh	Day	1264	4.2	Yes
Madhya Pradesh	Day	398	8.8	Yes
Madhya Pradesh	Day	469	7	Yes
Madhya Pradesh	Day	395	7.5	Yes
Madhya Pradesh	Day	360	8.1	Yes
Madhya Pradesh	Day	447	8.3	Yes
Madhya Pradesh	Day	283	7.7	Yes
Madhya Pradesh	Day	354	8.1	Yes
Madhya Pradesh	Day	348	9.1	Yes
Madhya Pradesh	Day	625	10.1	Yes
Madhya Pradesh	Day	999	6.7	Yes
Madhya Pradesh	Day	747	14.5	Yes
Madhya Pradesh	Day	688	12.6	Yes
Madhya Pradesh	Day	947	12.2	Yes
Maharashtra	Night	21403	2.2	Yes
Maharashtra	Night	21110	3.8	Yes
Maharashtra	Night	25353	3.6	Yes
Maharashtra	Night	26325	2.1	Yes
Maharashtra	Night	9986	3.7	Yes
Maharashtra	Night	9216	3.1	Yes
Maharashtra	Night	9957	2.1	Yes
Maharashtra	Night	11901	2.5	Yes
Maharashtra	Night	11175	2.5	Yes
Maharashtra	Night	3408	3.6	Yes
Maharashtra	Night	3003	5.9	Yes
Maharashtra	Night	3713	4.9	Yes
Maharashtra	Night	3956	4	Yes
Maharashtra	Night	3829	4.3	Yes
Maharashtra	Night	7764	3.3	Yes
Maharashtra	Night	6048	3.7	Yes
Maharashtra	Night	7558	4.5	Yes
Maharashtra	Night	6770	4.6	Yes
Maharashtra	Night	6577	4.1	Yes
Maharashtra	Night	4185	4.5	Yes
Maharashtra	Night	3682	5.7	Yes
Maharashtra	Night	4087	4.1	Yes
Maharashtra	Night	4135	4.9	Yes
Maharashtra	Night	3889	4.3	Yes
Maharashtra	Night	6598	3.2	Yes
Maharashtra	Night	11772	5.8	Yes
Maharashtra	Night	11427	3.3	Yes
Maharashtra	Night	4049	4.3	Yes
Maharashtra	Night	3428	3.3	Yes
Maharashtra	Night	2178	7.5	Yes
Maharashtra	Night	4645	3.9	Yes
Maharashtra	Night	6168	3.4	Yes
Maharashtra	Night	11582	4.1	Yes
Maharashtra	Night	9425	7	Yes
Maharashtra	Night	2775	3.4	Yes
Maharashtra	Night	5236	7.4	Yes
Maharashtra	Night	2182	5.4	Yes
Maharashtra	Night	4073	3.6	Yes
Maharashtra	Night	10288	2.6	Yes
Maharashtra	Night	14371	3.1	Yes
Maharashtra	Day	21452	2.4	Yes
Maharashtra	Day	16159	5.6	Yes
Maharashtra	Day	14885	6.9	Yes
Maharashtra	Day	12414	7.7	Yes
Maharashtra	Day	7949	9.1	Yes
Maharashtra	Day	11419	5.8	Yes
Maharashtra	Day	16238	9.7	Yes
Maharashtra	Day	7843	5.2	Yes
Maharashtra	Day	15975	10.5	Yes
Maharashtra	Day	6732	10.5	Yes
Maharashtra	Day	12266	9.1	Yes
Maharashtra	Day	5601	5.7	Yes
Maharashtra	Day	2018	6.5	Yes
Maharashtra	Day	12558	5.1	Yes
Maharashtra	Day	4944	10.1	Yes
Maharashtra	Day	7781	5.3	Yes
Maharashtra	Day	23111	1.9	Yes
Maharashtra	Day	31394	2.1	Yes
Maharashtra	Day	4278	9.6	Yes
Maharashtra	Day	1849	13.6	Yes
Manipur	Night	159	7.9	Yes
Manipur	Night	87	16.8	Yes
Meghalaya	Night	189	7.8	Yes
Meghalaya	Night	93	11.3	Yes
Meghalaya	Night	264	4.6	Yes
Mizoram	Night	408	3.6	Yes
Nagaland	Night	514	2.9	Yes
Odisha	Night	5315	3.2	Yes
Odisha	Night	5600	4.8	Yes
Odisha	Night	5012	4	Yes
Odisha	Night	8424	3.3	Yes
Odisha	Night	7158	3.8	Yes
Odisha	Night	5687	3.4	Yes
Odisha	Night	7151	3.2	Yes
Odisha	Night	7385	4.1	Yes
Odisha	Night	6078	3.6	Yes
Odisha	Night	8305	4.3	Yes
Odisha	Night	6936	3.2	Yes
Odisha	Night	6844	4.7	Yes
Odisha	Night	3973	2.4	Yes
Odisha	Night	4033	3.7	Yes
Odisha	Night	4706	4	Yes
Odisha	Night	3347	3.5	Yes
Odisha	Night	4160	3.2	Yes
Odisha	Night	3522	4	Yes
Odisha	Night	4106	2.7	Yes
Odisha	Night	4359	5.4	Yes
Odisha	Night	4160	5.3	Yes
Odisha	Night	4469	5	Yes
Odisha	Night	4367	5.1	Yes
Odisha	Night	3863	5.5	Yes
Odisha	Night	4461	5	Yes
Odisha	Night	3938	4.3	Yes
Odisha	Night	4371	5.8	Yes
Odisha	Night	4082	4.7	Yes
Odisha	Night	3966	4.2	Yes
Odisha	Night	3392	4	Yes
Odisha	Night	2018	3.7	Yes
Odisha	Night	4087	4.1	Yes
Odisha	Night	2102	5.3	Yes
Odisha	Night	1022	5.3	Yes
Odisha	Night	4185	7.7	Yes
Odisha	Night	4139	5.2	Yes
Odisha	Night	1204	7	Yes
Odisha	Night	1320	4	Yes
Odisha	Night	3821	4.4	Yes
Odisha	Night	1677	5.2	Yes
Odisha	Day	1100	6.6	Yes
Odisha	Day	1501	4.1	Yes
Odisha	Day	2313	7	Yes
Odisha	Day	1071	6.7	Yes
Odisha	Day	2564	5.2	Yes
Odisha	Day	3333	1.1	Yes
Odisha	Day	4988	2.1	Yes
Odisha	Day	864	9.2	Yes
Odisha	Day	712	11.3	Yes
Odisha	Day	6542	3.8	Yes
Punjab	Night	10000	2	Yes
Punjab	Night	12500	1.5	Yes
Punjab	Night	9500	1.8	Yes
Punjab	Night	8000	2.5	Yes
Punjab	Night	6500	3	Yes
Punjab	Night	11000	1.6	Yes
Punjab	Night	7500	2.7	Yes
Punjab	Night	6000	3.5	Yes
Punjab	Night	5800	4	Yes
Punjab	Night	7000	2.9	Yes
Punjab	Night	7654	2.6	Yes
Punjab	Night	8706	3.2	Yes
Punjab	Night	6856	3.3	Yes
Punjab	Night	7196	2.5	Yes
Punjab	Night	10271	2.4	Yes
Punjab	Day	6609	2	Yes
Punjab	Day	8607	3.2	Yes
Punjab	Day	10790	2.1	Yes
Punjab	Day	7615	3.4	Yes
Rajasthan	Night	5670	3.4	Yes
Rajasthan	Night	6452	3.7	Yes
Rajasthan	Night	7033	3.3	Yes
Rajasthan	Night	6677	1.9	Yes
Rajasthan	Night	5788	3.9	Yes
Rajasthan	Night	4144	3.1	Yes
Rajasthan	Night	7189	3	Yes
Rajasthan	Night	7996	3.8	Yes
Rajasthan	Night	5877	2.4	Yes
Rajasthan	Night	6485	3.1	Yes
Rajasthan	Night	5546	2.6	Yes
Rajasthan	Night	6109	2.6	Yes
Rajasthan	Night	4532	2.7	Yes
Rajasthan	Night	5891	2.5	Yes
Rajasthan	Night	5767	3	Yes
Rajasthan	Night	5480	3.2	Yes
Rajasthan	Night	7807	3.7	Yes
Rajasthan	Night	6389	3.4	Yes
Rajasthan	Night	6045	3.2	Yes
Rajasthan	Night	7126	4	Yes
Rajasthan	Night	4911	2.6	Yes
Rajasthan	Night	4037	3.8	Yes
Rajasthan	Night	4231	3.6	Yes
Rajasthan	Night	6334	3.1	Yes
Rajasthan	Night	4691	3.7	Yes
Rajasthan	Night	4592	3.6	Yes
Rajasthan	Night	6933	2.3	Yes
Rajasthan	Night	6423	2.2	Yes
Rajasthan	Night	4696	2.3	Yes
Rajasthan	Night	6153	3.6	Yes
Rajasthan	Night	7208	3.6	Yes
Rajasthan	Night	4203	3.1	Yes
Rajasthan	Night	6774	2.2	Yes
Rajasthan	Night	5398	3.9	Yes
Rajasthan	Night	4886	3	Yes
Rajasthan	Night	6370	2.6	Yes
Rajasthan	Night	6635	2.2	Yes
Rajasthan	Night	5646	3.3	Yes
Rajasthan	Night	5478	2.2	Yes
Rajasthan	Night	6597	2.9	Yes
Rajasthan	Night	3976	3.5	Yes
Rajasthan	Night	3546	4.5	Yes
